"","X","Accession","Species","LeafBudburst","LeafEmerg","LeafBBdoy","LeafEmergdoy"
"294",294,"16823*B","Quercus_glandulifera","2015-05-04","2015-05-12",123,131
"295",295,"1732-77*D","Pinus_parviflora","2015-05-12","2015-06-15",131,165
"296",296,"18409*A","Quercus_aliena","2015-05-04","2015-05-12",123,131
"297",297,"787*F","Liriodendron_tulipifera","2015-04-28","2015-05-12",117,131
"298",298,"14936*C","Larix_gmelinii_var_principis_rupprechtii","2015-04-13","2015-04-20",102,109
"299",299,"14936*B","Larix_gmelinii_var_principis_rupprechtii","2015-04-13","2015-04-20",102,109
"300",300,"7598*J","Quercus_coccinea","2015-05-04","2015-05-12",123,131
"301",301,"7598*H","Quercus_coccinea","2015-05-04","2015-05-12",123,131
"302",302,"18503*A","Larix_gmelinii_var_principis_rupprechtii","2015-04-20","2015-04-20",109,109
"303",303,"21784*B","Larix_gmelinii_var_principis_rupprechtii","2015-04-20","2015-04-20",109,109
"304",304,"18503*G","Larix_gmelinii_var_principis_rupprechtii","2015-04-20","2015-04-20",109,109
"305",305,"21784*K","Larix_gmelinii_var_principis_rupprechtii","2015-04-20","2015-04-20",109,109
"306",306,"20513*A","Quercus_alba","2015-05-04","2015-05-12",123,131
"307",307,"20517*A","Quercus_coccinea","2015-05-04","2015-05-04",123,123
"308",308,"26-80*A","Fagus_grandifolia","2015-04-27","2015-04-27",116,116
"309",309,"20517*B","Quercus_coccinea","2015-05-04","2015-05-04",123,123
"310",310,"186-82*C","Fraxinus_pennsylvanica","2015-04-20","2015-04-20",109,109
"311",311,"18912*A","Crataegus_crus-galli","2015-04-27","2015-05-12",116,131
"312",312,"18918*A","Crataegus_crus-galli","2015-04-20","2015-05-12",109,131
"313",313,"6500*A","Crataegus_crus-galli","2015-04-28","2015-05-12",117,131
"314",314,"5053*A","Crataegus_crus-galli","2015-04-27","2015-05-12",116,131
"315",315,"5029*A","Crataegus_crus-galli","2015-05-12","2015-05-12",131,131
"316",316,"11913*A","Crataegus_crus-galli","2015-04-27","2015-05-12",116,131
"317",317,"16611*F","Populus_deltoides","2015-05-04","2015-05-04",123,123
"318",318,"16611*H","Populus_deltoides","2015-05-04","2015-05-12",123,131
"319",319,"16611*J","Populus_deltoides","2015-05-04","2015-05-12",123,131
"320",320,"16611*K","Populus_deltoides","2015-05-04","2015-05-12",123,131
"321",321,"16611*O","Populus_deltoides","2015-05-04","2015-05-04",123,123
"322",322,"1894-80*K","Sorbus_yuana","2015-04-20","2015-05-04",109,123
"323",323,"22099*A","Populus_deltoides","2015-05-04","2015-05-12",123,131
"324",324,"1296-83*A","Larix_decidua","2015-04-20","2015-04-20",109,109
"325",325,"1311-79*B","Pinus_ponderosa","2015-05-12","2015-05-25",131,144
"326",326,"1311-79*F","Pinus_ponderosa","2015-05-12","2015-05-25",131,144
"327",327,"205-80*A","Pinus_ponderosa","2015-05-25","2015-05-25",144,144
"328",328,"205-80*B","Pinus_ponderosa","2015-05-25","2015-05-25",144,144
"329",329,"11728*A","Pyrus_ussuriensis","2015-04-27","2015-05-04",116,123
"330",330,"17456*A","Pyrus_ussuriensis","2015-04-20","2015-05-04",109,123
"331",331,"10793*A","Pyrus_calleryana","2015-04-20","2015-04-27",109,116
"332",332,"17456*B","Pyrus_ussuriensis","2015-04-20","2015-04-27",109,116
"333",333,"7272*A","Pyrus_pyrifolia","2015-04-20","2015-05-12",109,131
"334",334,"1323-82*A","Tilia_americana","2015-04-27","2015-05-12",116,131
"335",335,"11728*B","Pyrus_ussuriensis","2015-04-20","2015-05-04",109,123
"336",336,"1894-80*A","Sorbus_yuana","2015-04-20","2015-04-28",109,117
"337",337,"1539-80*I","Sorbus_yuana","2015-04-20","2015-05-04",109,123
"338",338,"1539-80*H","Sorbus_yuana","2015-04-20","2015-04-27",109,116
"339",339,"1211-77*B","Quercus_glandulifera","2015-05-04","2015-05-12",123,131
